2 5
permit 192168?? ?12??34?
deny 19216899 012343?5
19216711 11233340 HiIamACracker
19216891 01234345 Hello
19216899 01234345 HiIamAlsoACracker
19216809 11200340 World
00000000 99999999 TheEndOfTheWorld
1 2
permit 12345678 23456789
19216891 01234345 Hello
12345678 23456789 Hello
39 232 
permit ???26??? ???????2
permit ???5?6?? ???59???
permit ???1???? ?682??4?
permit ??91?6?9 31???6?7
permit 553?2?95 ?62?????
permit ?80?9??5 ?????0?1
permit ?28???33 313?40?1
permit 19??9??5 ??5?2???
permit 3??????? ?95????5
permit ???04048 ???57???
permit ?391?0?1 ?4????2?
permit ????75?? ?0????46
permit 8?937??? ??2?7???
permit ??8??6?1 ???60???
permit ???42??? 99??5???
permit 042????2 8???7???
permit ??6??0?3 ??????19
permit ?2?????? 0???71??
permit ??9?2??? ??3????7
permit ?6???75? ?5?????0
permit ?3?4?3?6 ?35?866?
permit ??5?6?15 ?4826624
permit ?95????? 4??????2
permit 6???1??? ???115?8
permit ??20?75? ????????
permit 00?????? ????????
permit ??44???? ?3??1?4?
permit ?6?9373? ??806???
permit ????71?? ????????
permit 5??3?6?1 3???28??
permit ??????2? 9???????
permit ??????0? 1?6?117?
permit ?????5?? ????????
permit 7???82?? ??0????2
permit ??2?9??7 ?????6??
permit 246???13 ???6??8?
permit ??7??5?? ?8?3?0?7
permit ??5?08?7 3???????
permit 26?95??1 3317?6??
18767478 72541436 UtAJWTyNu7odalKp61sn4zyPiHKJehKDg9szqh89KzwP8j
21436967 23698349 FcbwD
23092327 27696723 xiBoBcRUbE7CbS9WDInCveTWJklMBMdqbih
07296505 43418341 F4neNeXsVWrkjK7Q7aZ8vmj
65890985 65696985 Dc7iH4ZSDCVOVKFul
63238587 67896303 TML67EzW3GzKNYRuZ4p
25614321 89230707 hCFeJmFo9WlSh2pG5QR6XS32LYdwL6h0HmRgp0baHUB6piP
89874761 61290927 5yfOloHOToL
65094101 01892765 X4JCzYfoVUBsD69Y5wt
05656907 87272587 Psropw1AhKdgrmJkhOtw50zULk5IZMvCV0B41OJ
45838549 43652149 pUxyB2V
69036343 83212305 RqforUdgHG5aJYpanwjyBwNAtCd
69054945 25214305 HqRkhQv4R4n6REJcnM5qXu9mRyRIL
89612523 69272983 PgpexWfYtM3uzOXgdk16Ryjm5G3c1yh
67638327 49472163 b4PWN4Pstw9qBU9elIn0rCFEpOLGtkheRUjuvKZWFifSd
69654181 87652105 D6BczyveFsbYpQrONq3GfyLm9eHu9azU5G1cJwZobQNqB
63630787 49012367 DEpMX0PmRyj0xiHyvczCJ4PWhEh6xoV8ZOTcr
83232965 89458585 RAN8jMPALyD6fSFy7uhMVCrcpWBqDyFmrGfC78HInmpIFSb
83452361 41232387 XIx05QlmB8P0PeFsnEBYbidWnQ1kzsDuVQnIbIj2f23
89216109 65212745 3AhIFO9oHIh45S7mrcjK30f
23234381 21810147 vObyR
49632745 25632543 JiJ21S1gB2T67wd
49254141 27872981 z01mhujaH4FKtOTidi92L6ZMvmf8T
83654745 09434969 vgh
25250363 25834981 fk1KlWRUFsT0FSBwB8xUv8jcVOTA74n25wX8B
09294303 89814921 3KvOj4xwJ6L4VCzkb47kH
65830581 69458563 fofWXYF8p2F2D25U7IBQ3Y5KjwzYxK1qNwXCHidyhWXyZgz
09236185 89434105 DiHwBiNudMBIfO7iXAZoFkByh4HIHobEdKToFeLsjMT
81614943 43270701 ZU9aTsPkpuNQBQR
87010785 25672501 diBw7yl
23450101 63034363 Fq7kxITe5cBmbU9wd0JozytYvCP2jET
21498149 47650347 Bu3wbUJ2lQpiJyZOTGFyN2dINO9E7iNElO9SLIV
09210143 43450161 pm3GxUvkhMR
27432527 07034743 D8PA52nwRMhQHm5ufAfUXWF47yFuZ
83812321 21238147 1oL8LCR8n0FwjKFcBYHqjInElY3UFGDA1Sz2V2VgZ
61434385 05816941 bsV
45030347 63814101 HaPifSPyzSHyNOxiZY1gPkVOZYnqtcPSp4dgREhmFu1UZaz
49638125 83272383 ZQVAXQZ07wveLaTg7wB
23618143 03854703 Dit2JIFu985K5MHQ9WXETiJAZGPitm5I1kV
61018925 09278369 V
65816581 69494767 t0xgLg7MVExCbupA7ubiTsHiTY9IfQjEjsnYZ8He9MrMx
85050727 03030727 BohcxSte7STqbwNylmhSfYVeBGxcxW3Alc1uPejMjQF
05012985 83612949 TuPYfmpm3SrqHgl8VIzmd6poZW7QFaHGTq1ypexG1
49256361 09814583 zWvaBitgPKpgJctAzg1Ezc3IJY5Cd8D0b2ROter6den2t
45098161 03292921 7Op0hCTkDKV0N8z0HW5yDgnArA1UtmVKXmj
29830381 25854361 pM3W7qzKJYL2NKJyJcBsN6xkxwLw5ePEFK1KpUJetef
63494765 27498145 9srk3Yzezmh8RypcRGV2BGDiZ4vUjqF0xm9qJmhALGz
45076547 07216947 xibmNafIjWTK9oPIJUNSPyVq7qrUzMfqjm7crGNeV
45896303 65290321 HgJUBepUHOVkBm5c3GTMb
65610343 27612309 bkrmH47SRkfCrqbiTSDaT6tKFiz4B0rSj85U9wBSJCBKrmRif
27050565 47658589 viFSVKFy1cV0XuF8Baz47wrCtklmLabiV
67814123 29858725 PmNir6T
01870561 87476789 5eP
81454565 65456181 p6jEX4dkvstuBKJMHoJUx0t6TgJ
21290127 63076109 hK72bOnKxs5
07450929 41674765 Pgl2VEnm3gT
81472785 47074561 p2NEFop6lwx0xw78PSh4lYFSnKtw7kBEjKBSt
05818503 41454925 Dqx
85696521 03892389 jCPudy9eFK7MrkDs1wZ
63892363 01816565 R87SLyD8ZiNUJmpEdkb8ry5Q3CLIdsBaREjOtWRIvSfwbGR
65890749 43810525 7GN63kJ
45872501 01252949 rIjKvwToNAzmn
81634549 23096905 b2xI7KDMLajExI5i7Gzyp6FafQ5KHcVcXOJo1gTmjAf
01092381 49832129 b4BuxE9GzCRAZersNINoXs7y98piFOhKx
23890747 09898303 FwbgTKXY10xuhsxYv8tCruronKbEXYB
67296183 89478503 No9YFYHwz4Z036VuV6BkTQ7WR6Nsp
21476565 83898909 vevwx69cjyPOXAXCLkVElGlgPSPuTujC7c3QRU1
69636767 09836903 poPY7IxatgTWdaZs5ML2FWzurWtWzY5UpYdO3wV6f29YvyT
01636145 29472903 7Gh4Va363CHqhGJY7KbYr83axmdETw7
07678341 69892781 fiH4HGXSLkFIBw3Mz6ZITyNedMlsvuh
61610549 03878945 J0NWNmH0HCHMhW7K9Y9G5
69230329 69412507 N0vML07S3of8n0rAnuVA1cXIJgDy1iZsJ
05256547 63696501 N
05250929 07870729 ruPIXWLorYvqn6xEdgngl0j2lIDG1St
81878363 21210943 Z07mNAN
25450905 83034541 tglaBA5WT6lUpk5
03636121 01298121 R4pM7iDqxevyfg5sn0zefiNYJSXwd8RYl4DQl
29418765 07436149 BCDkLY3Uf4VMDiRsRQhCHG72Zu5GFCNkH4H
61250723 69676727 VQpaF8Ti9GZGn
43436545 29252781 Nexir4DUz89mTmPsDmPEjmhgzkFEl0PE7uf2p2FS7
67876187 05438767 vWj6HAbGngH
43212321 27218503 zAbAhiLk3IF2zaXi3iHMtODMhk7Qf8Zs9Qpot8F63AX
