2-50
1 3-50
1-2 4-50
1-3 5-50
1-4 6-50
1-5 7-50
1-6 8-50
1-7 9-50
1-8 10-50
1-9 11-50
1-10 12-50
1-11 13-50
1-12 14-50
1-13 15-50
1-14 16-50
1-15 17-50
1-16 18-50
1-17 19-50
1-18 20-50
1-19 21-50
1-20 22-50
1-21 23-50
1-22 24-50
1-23 25-50
1-24 26-50
1-25 27-50
1-26 28-50
1-27 29-50
1-28 30-50
1-29 31-50
1-30 32-50
1-31 33-50
1-32 34-50
1-33 35-50
1-34 36-50
1-35 37-50
1-36 38-50
1-37 39-50
1-38 40-50
1-39 41-50
1-40 42-50
1-41 43-50
1-42 44-50
1-43 45-50
1-44 46-50
1-45 47-50
1-46 48-50
1-47 49-50
1-48 50
1-49
