3 3
0 1 3
0 2 3
1 2 3
3 3
0 1 1
0 2 3
1 2 3
3 3
0 1 1
2 1 3
2 0 2
25 25
0 3 1
3 1 2
1 2 3
2 4 4
6 4 1
7 6 4
7 0 1
8 12 1
12 9 2
10 9 3
11 10 4
8 11 5
21 5 5
5 24 5
24 22 1
23 22 1
21 23 1
14 15 2
15 13 1
13 14 2
16 20 1
20 17 1
18 17 1
19 18 1
19 16 1
55 55
0 7 1
7 6 1
6 5 1
5 4 1
3 4 1
2 3 1
1 2 1
1 0 1
12 18 1000
18 17 1000
17 16 7
15 16 21
14 15 93
13 14 2
13 12 23
9 8 5
8 11 5
9 10 5
10 11 5
19 22 102
22 21 101
20 21 102
19 20 102
23 29 8
29 28 7
27 28 7
26 27 23
25 26 13
24 25 23
24 23 21
31 30 19
30 36 18
36 35 17
35 34 19
33 34 18
32 33 19
32 31 18
38 37 2
37 39 1
39 40 2
38 40 1
41 42 2
42 43 2
41 43 1
45 44 100
44 48 100
48 47 1
46 47 1
45 46 1
49 51 1
51 50 1
50 49 1
52 53 1
53 54 1
52 54 1
55 55
0 7 1
7 6 1
6 5 1
5 4 1
3 4 1
2 3 1
1 2 1
1 0 1
12 18 1000
18 17 1000
17 16 7
15 16 21
14 15 93
13 14 2
13 12 23
9 8 5
8 11 5
9 10 5
10 11 5
19 22 102
22 21 101
20 21 102
19 20 102
23 29 8
29 28 7
27 28 7
26 27 23
25 26 13
24 25 23
24 23 21
31 30 19
30 36 18
36 35 17
35 34 19
33 34 18
32 33 19
32 31 18
38 37 2
37 39 1
39 40 2
38 40 1
41 42 2
42 43 2
41 43 1
45 44 100
44 48 100
48 47 1
46 47 1
45 46 1
49 51 1
51 50 1
50 49 1
52 53 1
53 54 1
52 54 1
55 55
0 7 1
7 6 1
6 5 1
5 4 1
3 4 1
2 3 1
1 2 1
1 0 1
12 18 1000
18 17 1000
17 16 7
15 16 21
14 15 93
13 14 2
13 12 23
9 8 5
8 11 5
9 10 5
10 11 5
19 22 102
22 21 101
20 21 102
19 20 102
23 29 8
29 28 7
27 28 7
26 27 23
25 26 13
24 25 23
24 23 21
31 30 19
30 36 18
36 35 17
35 34 19
33 34 18
32 33 19
32 31 18
38 37 2
37 39 1
39 40 2
38 40 1
41 42 2
42 43 2
41 43 1
45 44 100
44 48 100
48 47 1
46 47 1
45 46 1
49 51 1
51 50 1
50 49 1
52 53 1
53 54 1
52 54 1
0 0 0





